date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-01-01,5℃,-4℃,霾,无持续风向,微风,311,严重污染,6
2016-01-02,6℃,-4℃,霾~雾,无持续风向,微风,415,严重污染,6
2016-01-03,3℃,-4℃,霾~多云,无持续风向,微风,285,重度污染,5
2016-01-04,2℃,-6℃,多云~晴,北风,3-4级,22,优,1
2016-01-05,1℃,-7℃,晴,北风,3-4级,105,轻度污染,3
2016-01-06,3℃,-6℃,晴,北风,3-4级,32,优,1
2016-01-07,2℃,-7℃,晴,北风,3-4级,28,优,1
2016-01-08,2℃,-8℃,晴,北风,3-4级,141,轻度污染,3
2016-01-09,3℃,-6℃,晴~多云,无持续风向,微风,192,中度污染,4
2016-01-10,1℃,-8℃,多云~晴,无持续风向,微风,36,优,1
2016-01-11,-1℃,-9℃,晴,无持续风向,微风,27,优,1
2016-01-12,0℃,-8℃,晴,无持续风向,微风,33,优,1
2016-01-13,2℃,-7℃,晴~多云,无持续风向,微风,68,良,2
2016-01-14,3℃,-7℃,多云~晴,无持续风向,微风,138,轻度污染,3
2016-01-15,2℃,-5℃,霾~阴,东风,微风,204,重度污染,5
2016-01-16,-1℃,-6℃,阴~小雪,无持续风向,微风,189,中度污染,4
2016-01-17,-2℃,-10℃,晴,北风,3-4级,35,优,1
2016-01-18,-3℃,-11℃,晴,北风,3-4级,40,优,1
2016-01-19,-2℃,-9℃,晴,无持续风向,微风,141,轻度污染,3
2016-01-20,-2℃,-7℃,多云~阴,无持续风向,微风,192,中度污染,4
2016-01-21,-2℃,-9℃,小雪~阴,无持续风向,微风,193,中度污染,4
2016-01-22,-6℃,-16℃,多云~晴,北风,4-5级,24,优,1
2016-01-23,-11℃,-14℃,晴,北风,5-6级,65,良,2
2016-01-24,-3℃,-11℃,晴,北风,4-5级,53,良,2
2016-01-25,3℃,-8℃,晴,无持续风向,微风,51,良,2
2016-01-26,2℃,-10℃,晴,北风,3-4级,113,轻度污染,3
2016-01-27,3℃,-7℃,晴~多云,无持续风向,微风,210,重度污染,5
2016-01-28,4℃,-7℃,晴~多云,无持续风向,微风,210,重度污染,5
2016-01-29,0℃,-6℃,多云~阴,无持续风向,微风,75,良,2
2016-01-30,-3℃,-10℃,阴~多云,无持续风向,微风,71,良,2
2016-01-31,1℃,-9℃,晴,北风,3-4级,31,优,1
2016-02-01,4℃,-8℃,晴,无持续风向,微风,27,优,1
2016-02-02,5℃,-7℃,晴,无持续风向,微风,40,优,1
2016-02-03,6℃,-5℃,晴,无持续风向,微风,53,良,2
2016-02-04,4℃,-5℃,多云,无持续风向,微风,27,优,1
2016-02-05,4℃,-5℃,晴,北风,3-4级,33,优,1
2016-02-06,6℃,-6℃,晴,无持续风向,微风,41,优,1
2016-02-07,8℃,-4℃,晴,无持续风向,微风,65,良,2
2016-02-08,12℃,-3℃,晴,北风,3-4级,175,中度污染,4
2016-02-09,10℃,-3℃,晴~霾,无持续风向,微风,56,良,2
2016-02-10,9℃,0℃,霾~小雨,无持续风向,微风,119,轻度污染,3
2016-02-11,6℃,-1℃,小雨~阴,无持续风向,微风,205,重度污染,5
2016-02-12,10℃,2℃,小雨~雨夹雪,无持续风向,微风,197,中度污染,4
2016-02-13,4℃,-5℃,阴~晴,北风,5-6级,25,优,1
2016-02-14,1℃,-6℃,晴,北风,4-5级,24,优,1
2016-02-15,5℃,-4℃,晴,北风,3-4级,39,优,1
2016-02-16,8℃,-4℃,晴,北风,3-4级,39,优,1
2016-02-17,9℃,-3℃,晴,无持续风向,微风,58,良,2
2016-02-18,9℃,-2℃,晴~阴,北风,4-5级,39,优,1
2016-02-19,8℃,-3℃,多云~晴,北风,3-4级,34,优,1
2016-02-20,4℃,-6℃,晴,北风,3-4级,28,优,1
2016-02-21,6℃,-3℃,晴~多云,无持续风向,微风,99,良,2
