date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-01-01,6℃,-4℃,霾,无持续风向,微风,340,严重污染,6
2016-01-02,6℃,-4℃,霾~雾,无持续风向,微风,500,严重污染,6
2016-01-03,4℃,-4℃,霾~多云,无持续风向,微风,298,重度污染,5
2016-01-04,3℃,-7℃,多云~晴,北风,3-4级,19,优,1
2016-01-05,0℃,-7℃,多云,西北风,微风,140,轻度污染,3
2016-01-06,2℃,-8℃,多云,西北风,微风,25,优,1
2016-01-07,0℃,-7℃,多云,西北风,微风,29,优,1
2016-01-08,1℃,-8℃,多云,西北风,微风,212,重度污染,5
2016-01-09,3℃,-7℃,多云,西北风,微风,324,严重污染,6
2016-01-10,0℃,-9℃,阴~多云,北风,微风,49,优,1
2016-01-11,-2℃,-10℃,多云,西北风,微风,18,优,1
2016-01-12,-2℃,-10℃,多云,西北风,微风,33,优,1
2016-01-13,1℃,-7℃,多云,西北风,微风,130,轻度污染,3
2016-01-14,3℃,-6℃,多云,西北风,微风,168,中度污染,4
2016-01-15,3℃,-5℃,阴,西北风,微风,218,重度污染,5
2016-01-16,1℃,-7℃,多云,东风,微风,197,中度污染,4
2016-01-17,-3℃,-12℃,多云,北风,微风,21,优,1
2016-01-18,-5℃,-11℃,多云,西北风,微风,38,优,1
2016-01-19,-2℃,-12℃,多云,西北风,微风,147,轻度污染,3
2016-01-20,-3℃,-9℃,阴~多云,东风,微风,155,中度污染,4
2016-01-21,-1℃,-11℃,多云,北风,微风,188,中度污染,4
2016-01-22,-6℃,-16℃,多云~晴,北风,4-5级,25,优,1
2016-01-23,-12℃,-16℃,多云~晴,西北风,微风,67,良,2
2016-01-24,-3℃,-14℃,阴~多云,西北风,微风,56,良,2
2016-01-25,1℃,-10℃,多云,西北风,微风,37,优,1
2016-01-26,1℃,-9℃,多云,西北风,微风,140,轻度污染,3
2016-01-27,3℃,-7℃,晴~多云,无持续风向,微风,239,重度污染,5
2016-01-28,4℃,-6℃,阴~多云,北风,微风,239,重度污染,5
2016-01-29,-1℃,-6℃,多云,东风,微风,66,良,2
2016-01-30,-1℃,-9℃,多云,东北风,微风,73,良,2
2016-01-31,1℃,-9℃,晴,北风,3-4级,41,优,1
2016-02-01,4℃,-8℃,晴,无持续风向,微风,24,优,1
2016-02-02,6℃,-8℃,晴,无持续风向,微风,43,优,1
2016-02-03,7℃,-5℃,晴~多云,无持续风向,微风,56,良,2
2016-02-04,5℃,-4℃,多云,西北风,微风,31,优,1
2016-02-05,3℃,-4℃,多云~晴,西北风,微风,31,优,1
2016-02-06,6℃,-4℃,晴~多云,西北风,微风,59,良,2
2016-02-07,7℃,-3℃,多云,西风,微风,71,良,2
2016-02-08,11℃,-1℃,晴,西北风,微风,215,重度污染,5
2016-02-09,10℃,-1℃,晴,东南风,微风,66,良,2
2016-02-10,10℃,1℃,晴~阴,东北风,微风,120,轻度污染,3
2016-02-11,9℃,2℃,小雨~多云,北风,微风,192,中度污染,4
2016-02-12,12℃,3℃,小雨,北风,微风,202,重度污染,5
2016-02-13,4℃,-6℃,阴~晴,北风,5-6级,19,优,1
2016-02-14,1℃,-5℃,晴~多云,西北风,微风,14,优,1
2016-02-15,4℃,-5℃,晴,西北风,微风,30,优,1
2016-02-16,7℃,-1℃,多云,西北风,微风,33,优,1
2016-02-17,10℃,-1℃,多云~晴,西风,微风,69,良,2
2016-02-18,8℃,0℃,多云,西北风,微风,35,优,1
2016-02-19,8℃,-3℃,多云,西北风,微风,34,优,1
2016-02-20,4℃,-6℃,晴,北风,3-4级,18,优,1
2016-02-21,7℃,-3℃,多云,南风,微风,114,轻度污染,3
2016-02-22,8℃,-4℃,晴,北风,3-4级,105,轻度污染,3
2016-02-23,4℃,-6℃,晴,北风,3-4级,18,优,1
2016-02-24,7℃,-1℃,晴~多云,无持续风向,微风,61,良,2
2016-02-25,7℃,-4℃,多云~晴,无持续风向,微风,42,优,1
2016-02-26,8℃,-2℃,多云~晴,无持续风向,微风,53,良,2
2016-02-27,8℃,-3℃,多云~阴,无持续风向,微风,31,优,1
2016-02-28,8℃,-4℃,多云~晴,北风,4-5级,53,良,2
2016-02-29,5℃,-4℃,多云~晴,无持续风向,微风,44,优,1
2016-03-01,11℃,-1℃,晴,无持续风向,微风,153,中度污染,4
2016-03-02,18℃,2℃,晴~多云,无持续风向,微风,230,重度污染,5
2016-03-03,18℃,4℃,霾~雾,无持续风向,微风,323,严重污染,6
2016-03-04,12℃,5℃,霾~晴,无持续风向,微风,369,严重污染,6
2016-03-05,12℃,-1℃,晴,北风,4-5级,199,中度污染,4
2016-03-06,12℃,-1℃,多云~晴,无持续风向,微风,115,轻度污染,3
2016-03-07,12℃,-1℃,晴~阴,北风,3-4级,74,良,2
2016-03-08,6℃,-2℃,多云~阴,无持续风向,微风,22,优,1
2016-03-09,7℃,-3℃,多云~晴,北风,3-4级,20,优,1
2016-03-10,7℃,-4℃,晴,北风,3-4级,36,优,1
2016-03-11,9℃,0℃,多云,南风,微风,42,优,1
2016-03-12,9℃,2℃,多云~晴,无持续风向,微风,136,轻度污染,3
2016-03-13,12℃,-2℃,晴,北风,3-4级,54,良,2
2016-03-14,16℃,3℃,晴~多云,无持续风向,微风,105,轻度污染,3
2016-03-15,15℃,2℃,多云~霾,无持续风向,微风,176,中度污染,4
2016-03-16,17℃,6℃,霾,无持续风向,微风,293,重度污染,5
2016-03-17,18℃,6℃,霾,无持续风向,微风,322,严重污染,6
2016-03-18,21℃,5℃,霾~多云,无持续风向,微风,240,重度污染,5
2016-03-19,17℃,4℃,多云,无持续风向,微风,87,良,2
2016-03-20,16℃,4℃,多云~晴,无持续风向,微风,85,良,2
2016-03-21,21℃,8℃,晴~多云,无持续风向,微风,171,中度污染,4
2016-03-22,15℃,5℃,阴~晴,无持续风向,微风,157,中度污染,4
2016-03-23,15℃,3℃,晴,北风,3-4级,40,优,1
2016-03-24,16℃,4℃,晴,无持续风向,微风,27,优,1
2016-03-25,15℃,3℃,晴,无持续风向,微风,31,优,1
2016-03-26,19℃,5℃,晴,北风,3-4级,29,优,1
2016-03-27,22℃,9℃,多云,西南风,微风,35,优,1
2016-03-28,22℃,8℃,多云~晴,北风,3-4级,144,轻度污染,3
2016-03-29,23℃,9℃,阴~多云,西北风,微风,57,良,2
2016-03-30,23℃,9℃,晴~多云,南风,微风,53,良,2
2016-03-31,28℃,15℃,多云~小雨,南风,微风,195,中度污染,4
2016-04-01,24℃,11℃,晴~多云,北风,3-4级,95,良,2
2016-04-02,18℃,8℃,多云,北风,3-4级,20,优,1
2016-04-03,20℃,9℃,晴,南风,微风,34,优,1
2016-04-04,24℃,13℃,多云,西南风,微风,94,良,2
2016-04-05,26℃,13℃,阴,南风,微风,156,中度污染,4
2016-04-06,26℃,14℃,阴~多云,南风,微风,174,中度污染,4
2016-04-07,24℃,10℃,多云,西北风,微风,138,轻度污染,3
2016-04-08,26℃,13℃,多云,西风,微风,57,良,2
2016-04-09,27℃,9℃,多云,东南风,微风,137,轻度污染,3
2016-04-10,21℃,7℃,多云,东南风,微风,112,轻度污染,3
2016-04-11,19℃,9℃,多云~小雨,南风,微风,72,良,2
2016-04-12,20℃,8℃,多云~晴,无持续风向,微风,100,良,2
2016-04-13,27℃,11℃,晴,北风,3-4级,171,中度污染,4
2016-04-14,24℃,10℃,多云,南风,微风,65,良,2
2016-04-15,27℃,14℃,小雨,西北风,微风,98,良,2
2016-04-16,22℃,12℃,多云,西北风,微风,61,良,2
2016-04-17,21℃,11℃,多云,西北风,微风,25,优,1
2016-04-18,22℃,11℃,多云~小雨,西北风,微风,31,优,1
2016-04-19,22℃,13℃,小雨,东风,微风,102,轻度污染,3
2016-04-20,28℃,15℃,多云,西北风,微风,91,良,2
2016-04-21,32℃,12℃,多云,西北风,微风,144,轻度污染,3
2016-04-22,26℃,11℃,多云,西北风,微风,74,良,2
2016-04-23,24℃,10℃,多云~晴,南风,微风,53,良,2
2016-04-24,30℃,16℃,晴~多云,南风,微风,117,轻度污染,3
2016-04-25,32℃,16℃,多云~阴,南风,微风,126,轻度污染,3
2016-04-26,27℃,14℃,多云~小雨,东南风,微风,100,良,2
