date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-01-01,11℃,3℃,多云,东南风,微风,95,良,2
2016-01-02,14℃,8℃,阴,南风,微风,153,中度污染,4
2016-01-03,15℃,8℃,阴~多云,东南风,微风,126,轻度污染,3
2016-01-04,15℃,8℃,小雨~中雨,东北风,微风,219,重度污染,5
2016-01-05,10℃,7℃,小雨,东北风,微风,55,良,2
2016-01-06,10℃,5℃,小雨~多云,东北风,微风,113,轻度污染,3
2016-01-07,9℃,1℃,阴,北风,微风,140,轻度污染,3
2016-01-08,7℃,1℃,多云~阴,北风,微风,146,轻度污染,3
2016-01-09,9℃,2℃,多云~小雨,东南风,微风,209,重度污染,5
2016-01-10,11℃,6℃,小雨,东风,微风,106,轻度污染,3
2016-01-11,8℃,3℃,小雨,东北风,微风,43,优,1
2016-01-12,5℃,-1℃,阴,北风,微风,80,良,2
2016-01-13,5℃,0℃,阴~多云,西北风,微风,141,轻度污染,3
2016-01-14,7℃,0℃,阴,西南风,微风,171,中度污染,4
2016-01-15,9℃,1℃,多云,西风,微风,166,中度污染,4
2016-01-16,11℃,3℃,多云~小雨,东风,微风,140,轻度污染,3
2016-01-17,10℃,1℃,小雨~多云,北风,微风,179,中度污染,4
2016-01-18,5℃,-3℃,多云,西北风,微风,169,中度污染,4
2016-01-19,3℃,-3℃,晴~多云,东北风,微风,131,轻度污染,3
2016-01-20,6℃,0℃,阴~小雨,东风,微风,43,优,1
2016-01-21,5℃,2℃,小雨,东北风,微风,45,优,1
2016-01-22,6℃,-2℃,小雨~雨夹雪,东北风,微风,129,轻度污染,3
2016-01-23,-2℃,-8℃,多云,北风,微风,69,良,2
2016-01-24,-4℃,-8℃,多云,西北风,微风,65,良,2
2016-01-25,2℃,-6℃,多云,西风,微风,64,良,2
2016-01-26,6℃,-2℃,多云,西南风,微风,83,良,2
2016-01-27,6℃,3℃,阴~小雨,东南风,微风,98,良,2
2016-01-28,8℃,4℃,小雨,北风,微风,98,良,2
2016-01-29,7℃,3℃,小雨,东北风,微风,55,良,2
2016-01-30,7℃,1℃,小雨~阴,北风,微风,71,良,2
2016-01-31,6℃,-1℃,小雨~雨夹雪,北风,微风,85,良,2
2016-02-01,2℃,-2℃,阴,北风,微风,79,良,2
2016-02-02,5℃,-1℃,多云~阴,西北风,微风,134,轻度污染,3
2016-02-03,6℃,0℃,多云~阴,东风,微风,158,中度污染,4
2016-02-04,7℃,-1℃,阴~多云,东北风,微风,88,良,2
2016-02-05,9℃,0℃,多云,西北风,微风,159,中度污染,4
2016-02-06,6℃,-1℃,多云~晴,西北风,微风,99,良,2
2016-02-07,9℃,0℃,多云,西南风,微风,93,良,2
2016-02-08,14℃,1℃,晴,西南风,微风,160,中度污染,4
2016-02-09,16℃,2℃,多云,东南风,微风,95,良,2
2016-02-10,18℃,7℃,阴~多云,东南风,微风,74,良,2
2016-02-11,20℃,10℃,小雨~阴,南风,微风,48,优,1
2016-02-12,22℃,11℃,小雨,东风,微风,71,良,2
2016-02-13,16℃,1℃,小雨~阴,西风,微风,87,良,2
2016-02-14,6℃,-2℃,阴,西北风,微风,43,优,1
2016-02-15,6℃,-2℃,多云~阴,西风,微风,44,优,1
2016-02-16,9℃,0℃,多云,西风,微风,48,优,1
2016-02-17,11℃,3℃,多云~阴,东南风,微风,67,良,2
2016-02-18,15℃,4℃,晴~阴,南风,微风,87,良,2
2016-02-19,13℃,3℃,阴~多云,东风,微风,118,轻度污染,3
2016-02-20,11℃,1℃,多云,西北风,微风,116,轻度污染,3
2016-02-21,11℃,3℃,阴~小雨,东南风,微风,88,良,2
2016-02-22,7℃,3℃,小雨~阴,东南风,微风,73,良,2
2016-02-23,11℃,2℃,阴~多云,东北风,微风,112,轻度污染,3
2016-02-24,9℃,0℃,多云,东北风,微风,97,良,2
2016-02-25,11℃,3℃,阴,东南风,微风,65,良,2
2016-02-26,17℃,7℃,阴,西南风,微风,106,轻度污染,3
2016-02-27,18℃,8℃,多云,南风,微风,93,良,2
2016-02-28,20℃,3℃,阴~多云,北风,3-4级,115,轻度污染,3
2016-02-29,10℃,0℃,多云,东北风,微风,108,轻度污染,3
2016-03-01,12℃,3℃,多云,东南风,微风,70,良,2
2016-03-02,18℃,7℃,阴,东南风,微风,128,轻度污染,3
2016-03-03,20℃,12℃,阴~多云,东南风,微风,176,中度污染,4
2016-03-04,22℃,13℃,阴~多云,东风,微风,152,中度污染,4
2016-03-05,24℃,9℃,多云~阴,东北风,微风,109,轻度污染,3
2016-03-06,19℃,10℃,多云~阴,东风,微风,151,中度污染,4
2016-03-07,24℃,9℃,多云~小雨,东北风,微风,174,中度污染,4
2016-03-08,10℃,4℃,中雨~小雨,东北风,微风,65,良,2
2016-03-09,7℃,2℃,阴,东北风,4-5级,43,优,1
2016-03-10,9℃,1℃,阴~多云,北风,微风,48,优,1
2016-03-11,10℃,3℃,阴~多云,东南风,微风,74,良,2
2016-03-12,13℃,6℃,阴,东南风,微风,110,轻度污染,3
2016-03-13,15℃,5℃,阴~多云,东北风,微风,115,轻度污染,3
2016-03-14,14℃,4℃,多云~阴,东北风,微风,108,轻度污染,3
2016-03-15,14℃,6℃,阴,东南风,微风,96,良,2
2016-03-16,18℃,8℃,多云,东风,微风,78,良,2
2016-03-17,18℃,12℃,小雨,东南风,微风,76,良,2
2016-03-18,19℃,12℃,阴~小雨,西北风,微风,156,中度污染,4
2016-03-19,18℃,7℃,小雨~多云,东北风,微风,141,轻度污染,3
2016-03-20,19℃,6℃,多云,东北风,微风,86,良,2
2016-03-21,18℃,9℃,阴~多云,东风,微风,79,良,2
2016-03-22,16℃,10℃,阴~小雨,东风,微风,78,良,2
2016-03-23,13℃,4℃,阴~多云,东北风,4-5级,68,良,2
2016-03-24,12℃,3℃,多云~阴,东北风,微风,54,良,2
2016-03-25,14℃,3℃,多云,东北风,微风,70,良,2
2016-03-26,15℃,6℃,多云,西风,微风,60,良,2
2016-03-27,17℃,7℃,多云,西风,微风,118,轻度污染,3
2016-03-28,19℃,10℃,晴~多云,南风,微风,94,良,2
2016-03-29,22℃,13℃,阴,西南风,微风,96,良,2
2016-03-30,19℃,12℃,小雨,南风,微风,87,良,2
2016-03-31,19℃,10℃,小雨~多云,东风,微风,73,良,2
2016-04-01,24℃,12℃,多云~阴,东南风,微风,103,轻度污染,3
