date,temp_high,temp_low,weather,wind_direction,wind_power,aqi,aqiInfo,aqiLevel
2011-01-01,-1℃,-5℃,多云,北风,3-4级~4-5级
2011-01-02,-1℃,-5℃,多云,北风,4-5级~5-6级
2011-01-03,0℃,-4℃,多云,西北风~北风,4-5级~3-4级
2011-01-04,2℃,-5℃,多云~阵雪,西北风~北风,4-5级~5-6级
2011-01-05,0℃,-5℃,小雪~阵雪,北风,5-6级
2011-01-06,1℃,-5℃,多云,西北风,4-5级
2011-01-07,2℃,-4℃,小雪~多云,西北风~北风,4-5级
2011-01-08,-3℃,-6℃,阵雪,北风~西北风,6-7级~4-5级
2011-01-09,-3℃,-7℃,阵雪~多云,北风,4-5级
2011-01-10,0℃,-5℃,多云,西北风~北风,3-4级~4-5级
2011-01-11,-1℃,-5℃,晴~多云,西北风~北风,3-4级~4-5级
2011-01-12,0℃,-4℃,晴~多云,西南风~西风,4-5级~3-4级
2011-01-13,-1℃,-5℃,阵雪,西北风~北风,6-7级~5-6级
2011-01-14,-4℃,-7℃,中雪~阵雪,北风,5-6级
2011-01-15,-3℃,-8℃,阵雪~多云,北风,6-7级~7-8级
2011-01-16,-2℃,-6℃,阵雪~多云,北风,4-5级
2011-01-26,0℃,-7℃,晴,北风,3-4级
2011-01-29,-2℃,-7℃,阵雪,西北风,4-5级
2011-01-30,-1℃,-7℃,多云~晴,西北风~西风,4-5级~3-4级
2011-01-31,3℃,-5℃,晴~多云,西风~西南风,4-5级~3-4级
2011-02-01,6℃,-1℃,晴~多云,南风~西风,3-4级
2011-02-02,6℃,-1℃,晴~多云,西南风~西北风,3-4级
2011-02-03,6℃,-2℃,晴~多云,西风~西北风,3-4级
2011-02-04,4℃,-4℃,晴~多云,北风,3-4级
2011-02-05,5℃,-4℃,晴~多云,南风~北风,4-5级
2011-02-06,5℃,-2℃,多云~晴,北风~东南风,5-6级~3-4级
2011-02-07,6℃,0℃,多云~阴,东南风~南风,3-4级
2011-02-08,3℃,-3℃,阴~多云,北风~东北风,3-4级~4-5级
2011-02-09,-1℃,-6℃,多云,北风~东北风,5-6级~4-5级
2011-02-10,-1℃,-5℃,多云~阴,东北风~北风,3-4级
2011-02-11,-3℃,-7℃,小到中雪~阵雪,北风,4-5级~5-6级
2011-02-12,-3℃,-7℃,小雪~多云,北风,5-6级~4-5级
2011-02-13,-2℃,-8℃,小雪,北风,3-4级~5-6级
2011-02-14,-2℃,-7℃,多云~晴,西北风~西南风,4-5级
2011-02-15,2℃,-5℃,晴,西南风,4-5级~3-4级
2011-02-16,2℃,-3℃,多云~阴,西南风~北风,3-4级
2011-02-17,3℃,-4℃,多云~晴,西北风~北风,3-4级
2011-02-18,5℃,-2℃,晴,西北风~西南风,3-4级
2011-02-19,6℃,0℃,多云~晴,西南风~北风,3-4级
2011-02-20,8℃,1℃,晴~多云,东北风~东南风,3-4级
2011-02-21,6℃,-1℃,晴,南风,3-4级
2011-02-22,8℃,1℃,晴,南风,3-4级
2011-02-23,10℃,1℃,晴~多云,南风,3-4级
2011-02-24,7℃,-1℃,晴~多云,西北风~东北风,5-6级
